PARK,PARK_NO,LOCATION,ZIP,ACRES,WARD,PARK_CLASS,WHEELCHR_A,ALFRED_CAL,ARCHERY_RA,ARTIFICIAL,BAND_SHELL,BASEBALL_B,BASKETBALL,BASKETBA_1,BEACH,BOAT_LAUNC,BOAT_LAU_1,BOAT_SLIPS,BOCCE_COUR,BOWLING_GR,CASTING_PI,FOOTBALL_S,COMMUNITY_,CONSERVATO,CULTURAL_C,DOG_FRIEND,FITNESS_CE,FITNESS_CO,GALLERY,GARDEN,GOLF_COURS,GOLF_DRIVI,GOLF_PUTTI,GYMNASIUM,GYMNASTIC_,HANDBALL_R,HORSESHOE_,ICESKATING,POOL_INDOO,BASEBALL_J,MOUNTAIN_B,NATURE_CEN,POOL_OUTDO,ZOO,PLAYGROUND,PLAYGROU_1,ROWING_CLU,VOLLEYBALL,SENIOR_CEN,SHUFFLEBOA,SKATE_PARK,SLED_HILL,SPORT_ROLL,SPRAY_FEAT,BASEBALL_S,TENNIS_COU,TRACK,VOLLEYBA_1,WATER_PLAY,WATER_SLID,BOXING_CEN,WETLAND_AR,LAGOON,CRICKET_FI,CLIMBING_W,GAME_TABLE,SHAPE_AREA,SHAPE_LEN,CAROUSEL,CROQUET,HANDBALL_I,HARBOR,MODELTRAIN,MODELYACHT,NATURE_BIR,MINIGOLF
HUMBOLDT (BARON VON),219,1400 N HUMBOLDT DR,60622,210.85,26,CITYWIDE PARK,0,0,0,3,0,0,8,3,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,0,15,0,0,1,0,5,0,0,0,0,0,0,1,0,2,1,4,0,1,0,1,1,2,1,0,0,0,7704898.98404,43929.5533624,0,0,0,0,0,0,1,0
MANDRAKE (HENRY BROWN),504,900 E PERSHING RD.,60653,10.01,4,COMMUNITY PARK,0,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,411477.608216,3773.88767088,0,0,0,0,0,0,0,0
MERRILL (GEORGE),1126,2131 E 96TH ST,60617,3.16,7,NEIGHBORHOOD PARK,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,134563.589072,1866.96737905,0,0,0,0,0,0,0,0
VETERANS' MEMORIAL,1067,2820 E 98TH ST,60617,4.81,10,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,168032.115871,1725.96064282,0,0,0,0,0,0,0,0
HARRIS (HARRIET),524,6200 S DREXEL AVE,60637,2.37,20,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88580.014984,1272.04079558,0,0,0,0,0,0,0,0
LOGAN SQUARE SKATE PARK,549,2430 W LOGAN BLVD,60647,1.61,32,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69917.1526931,1628.88178285,0,0,0,0,0,0,0,0
TOUHY (PATRICK),246,7348 N PAULINA ST,60626,6.68,49,COMMUNITY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,276265.39399,2693.35771745,0,0,0,0,0,0,0,0
"LUNT (ORRINGTON, STEPHEN)",1123,2239 W LUNT AVE,60645,0.2,50,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7413.31216722,398.512432372,0,0,0,0,0,0,0,0
MATANKY (EUGENE),168,6937 N RIDGE BLVD,60626,0.52,49,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22862.9495041,609.943717346,0,0,0,0,0,0,0,0
NORTH SHORE BEACH,1260,1040 W NORTH SHORE AVE,60626,0.66,49,PASSIVE PARK,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41497.6718387,851.458341913,0,0,0,0,0,0,0,0
EMMERSON (LOUIS),104,1820 W GRANVILLE AVE,60660,2.68,40,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,102060.18786,1845.79730054,0,0,0,0,0,0,0,0
KORCZAK (JANUSZ),1090,6156 N CLAREMONT AVE,60659,0.28,40,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8564.81100033,388.423050732,0,0,0,0,0,0,0,0
MATHER (STEPHEN TYNG),241,5835 N LINCOLN AVE,60659,14.87,40,COMMUNITY PARK,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,610217.063521,3164.03106613,0,0,0,0,0,0,0,0
PETERSON (PEHR SAMUEL),452,5801 N PULASKI RD,60646,22.24,39,REGIONAL PARK,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,959723.648299,3975.00652448,0,0,0,0,0,0,0,0
MULBERRY POINT,1222,5873 N NINA AVE,60631,0.07,41,PARKWAY PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3081.39930419,304.941878271,0,0,0,0,0,0,0,0
ATHLETIC FIELD,80,3546 W ADDISON ST,60618,4.35,35,NEIGHBORHOOD PARK,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,188685.821831,1927.80576661,0,0,0,0,0,0,0,0
ORIOLE,59,5430 N OLCOTT AVE,60656,19.47,41,REGIONAL PARK,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,846980.331487,4542.70978774,0,0,0,0,0,0,0,0
GRANDPARENTS',472,5445 N CHESTER ST,60656,1.79,41,NEIGHBORHOOD PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77818.3658662,1174.66254799,0,0,0,0,0,0,0,0
FOREST GLEN,70,5073 W BERWYN AVE,60630,0.42,39,MINI-PARK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18523.6972599,630.19132364,0,0,0,0,0,0,0,0
